Datum,Cislo1,Cislo2,Cislo3,Cislo4,Cislo5
26.4.2022,41,49,10,27,32
29.4.2022,18,17,5,34,6
3.5.2022,6,22,13,24,30
6.5.2022,49,6,5,39,50
10.5.2022,3,7,50,34,43
13.5.2022,30,13,43,7,47
17.5.2022,2,41,13,45,50
20.5.2022,47,32,22,4,28
24.5.2022,45,26,40,25,47
27.5.2022,29,48,8,41,26
31.5.2022,50,14,39,30,37
3.6.2022,41,27,4,39,22
7.6.2022,49,7,48,5,45
10.6.2022,23,46,21,28,3
14.6.2022,28,30,35,11,50
17.6.2022,45,2,1,23,43
21.6.2022,6,29,10,17,49
24.6.2022,30,13,48,35,24
28.6.2022,50,23,29,10,2
1.7.2022,34,4,24,10,35
5.7.2022,28,16,43,7,36
8.7.2022,10,36,30,6,22
12.7.2022,30,3,26,16,47
15.7.2022,9,19,16,32,11
19.7.2022,23,37,43,24,20
22.7.2022,1,17,19,11,33
26.7.2022,2,7,1,24,25
29.7.2022,26,29,46,50,14
2.8.2022,40,39,47,6,11
5.8.2022,31,49,10,17,12
9.8.2022,36,40,44,26,23
12.8.2022,14,46,38,32,34
16.8.2022,17,32,34,4,49
19.8.2022,13,32,41,4,39
23.8.2022,9,21,39,2,18
26.8.2022,37,6,2,18,29
30.8.2022,45,18,27,49,41
2.9.2022,11,22,5,2,24
6.9.2022,10,38,6,11,20
9.9.2022,26,43,18,9,41
13.9.2022,40,20,22,34,26
16.9.2022,41,16,27,45,25
20.9.2022,36,2,40,13,22
23.9.2022,39,20,38,30,44
27.9.2022,44,31,26,15,23
30.9.2022,17,15,8,12,46
4.10.2022,48,49,17,42,43
7.10.2022,30,16,17,35,26
11.10.2022,36,47,39,7,35
14.10.2022,10,44,5,8,3
18.10.2022,50,34,18,13,24
21.10.2022,2,11,49,47,18
25.10.2022,17,39,26,37,35
28.10.2022,21,30,4,5,43
1.11.2022,39,44,32,18,42
4.11.2022,40,9,7,48,49
8.11.2022,38,17,35,23,15
11.11.2022,28,11,15,24,41
15.11.2022,7,1,48,33,11
18.11.2022,28,13,14,25,42
22.11.2022,23,20,11,37,46
25.11.2022,8,48,6,42,4
29.11.2022,32,46,37,9,16
2.12.2022,49,48,25,12,6
6.12.2022,47,12,37,8,44
9.12.2022,13,6,32,21,8
13.12.2022,36,33,3,13,47
16.12.2022,47,20,9,14,15
20.12.2022,6,11,43,49,26
23.12.2022,9,44,34,35,42
27.12.2022,34,44,28,33,37
30.12.2022,3,47,50,37,45
3.1.2023,37,28,31,29,50
6.1.2023,47,50,28,14,31
10.1.2023,27,41,9,45,16
13.1.2023,7,41,34,49,14
17.1.2023,16,6,35,11,44
20.1.2023,12,31,47,15,1
24.1.2023,9,31,27,17,16
27.1.2023,4,29,34,9,37
31.1.2023,43,20,30,41,21
3.2.2023,1,44,17,7,50
7.2.2023,37,10,15,46,25
10.2.2023,42,10,20,36,3
14.2.2023,6,14,45,1,2
17.2.2023,21,5,12,15,39
21.2.2023,34,20,38,43,13
24.2.2023,1,5,18,20,12
28.2.2023,38,27,6,49,20
3.3.2023,48,1,37,46,18
7.3.2023,4,12,11,42,16
